file_name,extension,ID,x_start[px]_df1,x_start[px]_df2,y_start[px]_df1,y_start[px]_df2,x_end[px]_df1,x_end[px]_df2,y_end[px]_df1,y_end[px]_df2,ra_start[deg]_df1,ra_start[deg]_df2,dec_start[deg]_df1,dec_start[deg]_df2,ra_end[deg]_df1,ra_end[deg]_df2,dec_end[deg]_df1,dec_end[deg]_df2,JD_start[UTC]_df1,JD_start[UTC]_df2,JD_end[UTC]_df1,JD_end[UTC]_df2,norad_number_df1,norad_number_df2,angle_offset[deg]_df1,angle_offset[deg]_df2,pixel_offset[px]_df1,pixel_offset[px]_df2,range[m]_df1,range[m]_df2,phase_angle[deg]_df1,phase_angle[deg]_df2,ang_vel[deg/s]_df1,ang_vel[deg/s]_df2
OMEGA.2022-01-03T04:26:59.650.fits,29,7,48.0,48.0,772.7,772.7,2096.0,2096.0,420.1,420.1,149.0812416473826,149.0812672,-0.1341077070030635,-0.1340807,149.202658350898,149.2026839,-0.155011070599244,-0.1549837,59582.18546112906,2459582.685461129,59582.185810434166,2459582.685810434,11570.0,11570.0,,0.11,,108.5,,38854729.0,,49.93,,0.004661
OMEGA.2022-01-03T04:26:59.650.fits,30,8,48.0,48.0,388.3,388.3,1776.0,1776.0,100.0,100.0,149.2080533460707,149.2080789,-0.1568962854056773,-0.1568678,149.310498363363,149.3105239,-0.1739870550634356,-0.1739574,59582.18582641985,2459582.68582642,59582.186120959,2459582.686120959,11570.0,11570.0,,0.4,,116.2,,38853560.0,,50.05,,0.004661
OMEGA.2022-01-03T07:26:28.711.fits,2,5,320.0,320.0,0.0,0.0,816.0,816.0,4100.0,4100.0,172.29270189962494,172.2927372,-44.721974234192544,-44.7219436,172.33602853097275,172.3360637,-44.4790974676224,-44.4790668,59582.3125161212,2459582.812516121,59582.3125234358,2459582.812523436,731.0,731.0,,0.21,,42.7,,1023558.0,,91.92,,0.3983
OMEGA.2022-01-03T07:26:28.711.fits,6,8,864.0,864.0,0.0,0.0,1392.0,1392.0,4100.0,4100.0,172.3401847237659,172.3402199,-44.45783104668733,-44.4578003,172.38576828196142,172.3858032,-44.214934642568906,-44.2149039,59582.31252390519,2459582.812523905,59582.3125312198,2459582.81253122,731.0,731.0,,0.22,,46.1,,1022551.0,,91.82,,0.399
OMEGA.2022-01-03T07:26:28.711.fits,10,1,1392.0,1392.0,100.0,100.0,1920.0,1920.0,4200.0,4200.0,172.3857863465905,172.3858213,-44.212385407413045,-44.2123547,172.43099362855358,172.4310284,-43.96946966693108,-43.9694389,59582.31253113318,2459582.812531133,59582.31253844779,2459582.812538448,731.0,731.0,,0.2,,55.9,,1021634.0,,91.72,,0.3996
OMEGA.2022-01-03T07:26:28.711.fits,14,2,1968.0,1968.0,100.0,100.0,2096.0,2096.0,1156.8,1156.8,172.43508065726198,172.4351154,-43.9480810143819,-43.9480503,172.44599862890047,172.4460333,-43.88546372001097,-43.8854341,59582.31253891718,2459582.812538917,59582.31254094979,2459582.81254095,731.0,731.0,,0.24,,63.6,,1020941.0,,91.64,,0.4001
OMEGA.2022-01-03T07:26:28.711.fits,15,3,48.0,48.0,1893.8,1893.8,336.0,336.0,4200.0,4200.0,172.4539881788326,172.4540228,-43.84179613280246,-43.8417682,172.47840930744127,172.4784438,-43.70515051809637,-43.7051198,59582.31254197517,2459582.812541975,59582.31254623178,2459582.812546232,731.0,731.0,,0.04,,62.1,,1020420.0,,91.59,,0.4005
OMEGA.2022-01-03T07:26:28.711.fits,17,4,1536.0,1536.0,4100.0,4100.0,1392.0,1392.0,0.0,0.0,172.92962519293627,172.92966,-44.47997924521628,-44.4799483,172.91813712893062,172.9181721,-44.72305300210103,-44.7230221,59582.31245607277,2459582.812456073,59582.31073506409,2459582.810735064,26064.0,26064.0,,0.14,,95.7,,902152.0,,92.3,,0.4663
OMEGA.2022-01-03T07:26:28.711.fits,25,6,1840.0,1840.0,4200.0,4200.0,1696.0,1696.0,100.0,100.0,172.95357567496993,172.9536102,-43.96997459923097,-43.9699437,172.94228597894278,172.9423206,-44.21306039221793,-44.2130295,59582.31245607277,2459582.812456073,59582.3107222761,2459582.810722276,26064.0,26064.0,,0.12,,74.2,,900205.0,,92.06,,0.4683
OMEGA.2022-01-03T07:26:28.711.fits,29,7,1984.0,1984.0,4200.0,4200.0,1840.0,1840.0,100.0,100.0,172.96471465927877,172.9647489,-43.70549610062959,-43.7054652,172.95352122327498,172.9535557,-43.94857281528386,-43.9485419,59582.31245607277,2459582.812456073,59582.31071588211,2459582.810715882,26064.0,26064.0,,0.1,,78.2,,899223.0,,91.93,,0.4692
OMEGA.2022-01-03T07:32:33.192.fits,2,1,48.0,48.0,3459.4,3459.4,1792.0,1792.0,0.0,0.0,172.26028347080128,172.2603207,-44.51263200976457,-44.5126049,172.40391317334658,172.4039505,-44.71829153044749,-44.7182629,59582.315069987904,2459582.815069988,59582.315081472974,2459582.815081473,11299.0,11299.0,,0.14,,190.5,,1642394.0,,91.94,,0.23
OMEGA.2022-01-03T07:32:33.192.fits,5,4,48.0,48.0,3235.2,3235.2,1680.0,1680.0,0.0,0.0,172.08557616987352,172.0856133,-44.260627493552256,-44.2606016,172.21879787840675,172.2188351,-44.453171231974295,-44.4531427,59582.31505580992,2459582.81505581,59582.315066738985,2459582.815066739,11299.0,11299.0,,0.11,,181.8,,1639287.0,,91.7,,0.2308
OMEGA.2022-01-03T08:01:32.026.fits,3,3,48.0,48.0,4003.9,4003.9,768.0,768.0,0.0,0.0,201.425439880566,201.425478,-47.87717377900192,-47.8771438,201.48765079472813,201.4876891,-48.114724504501446,-48.1146948,59582.33489079308,2459582.834890793,59582.33489802014,2459582.83489802,8319.0,8319.0,,0.17,,5.5,,1069808.0,,111.82,,0.385
OMEGA.2022-01-03T08:01:32.026.fits,6,4,1360.0,1360.0,4100.0,4100.0,2096.0,2096.0,63.8,63.8,201.3543956142797,201.3544336,-47.606867355557846,-47.6068377,201.41735815318643,201.4173963,-47.84638413098144,-47.8463537,59582.33488245309,2459582.834882453,59582.33488968015,2459582.83488968,8319.0,8319.0,,0.0,,12.2,,1068235.0,,111.72,,0.3861
OMEGA.2022-01-03T08:01:32.026.fits,13,1,1952.0,1952.0,4200.0,4200.0,2096.0,2096.0,3431.0,3431.0,201.22408328577865,201.2241209,-47.09620161112769,-47.096172,201.23613496851883,201.2361726,-47.14184936142819,-47.1418198,59582.334866885096,2459582.834866885,59582.33486827416,2459582.834868274,8319.0,8319.0,,0.33,,31.8,,1064800.0,,111.51,,0.3884
