file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ang_vel[deg/s]
OMEGA.2022-01-25T03:07:35.539.fits,31,11,54.05,3660.57,666.03,3655.11,0.03159
OMEGA.2022-01-25T04:21:27.262.fits,22,3,52.09,2310.41,2083.64,2267.64,0.003475
OMEGA.2022-01-25T04:21:27.262.fits,23,4,52.53,2265.95,1532.17,2232.98,0.003484
OMEGA.2022-01-25T04:21:27.262.fits,5,8,52.01,2553.08,2081.47,2506.51,0.003431
OMEGA.2022-01-25T04:21:27.262.fits,6,9,51.59,2502.29,2088.03,2454.54,0.00344
OMEGA.2022-01-25T04:21:27.262.fits,7,10,51.99,2455.15,1850.48,2412.32,0.003449
OMEGA.2022-01-25T08:14:19.571.fits,10,1,56.94,1884.58,2086.02,1367.2,0.004698
OMEGA.2022-01-25T08:14:19.571.fits,11,2,56.85,1339.95,2087.05,826.98,0.004698
OMEGA.2022-01-25T08:14:19.571.fits,12,3,57.33,797.23,1173.84,513.48,0.004698
OMEGA.2022-01-25T08:14:19.571.fits,9,4,68.61,2426.58,2086.82,1915.17,0.004698
OMEGA.2022-01-25T03:47:54.466.fits,7,1,58.47,3997.06,2084.71,3445.35,0.006441
OMEGA.2022-01-25T08:21:04.122.fits,14,1,90.46,2537.5,2082.82,1770.23,0.03195
OMEGA.2022-01-25T08:21:04.122.fits,16,2,51.59,900.39,2057.64,129.67,0.03202
OMEGA.2022-01-25T08:21:04.122.fits,18,3,248.77,2.86,1780.34,4078.6,0.2195
OMEGA.2022-01-25T08:21:04.122.fits,22,4,52.14,3333.3,2088.21,2819.08,0.004699
OMEGA.2022-01-25T08:21:04.122.fits,22,5,1932.38,9.65,2090.62,428.78,0.2192
OMEGA.2022-01-25T08:21:04.122.fits,23,6,53.34,2793.5,2088.49,2275.66,0.004699
OMEGA.2022-01-25T08:21:04.122.fits,23,7,53.6,722.15,1328.59,4094.16,0.219
OMEGA.2022-01-25T08:21:04.122.fits,24,8,53.66,2250.23,2088.54,1731.33,0.004699
OMEGA.2022-01-25T08:21:04.122.fits,27,9,1348.9,109.97,2078.16,2041.92,0.2187
OMEGA.2022-01-25T08:21:04.122.fits,28,10,52.96,2359.03,738.03,4187.93,0.2185
OMEGA.2022-01-25T03:49:39.317.fits,23,1,52.19,1692.9,2084.23,1147.36,0.00633
OMEGA.2022-01-25T03:49:39.317.fits,24,2,57.99,1117.66,2086.46,574.25,0.006303
OMEGA.2022-01-04T01:17:13.178.astred.cal.fits,18,2,691.01,19.75,419.47,4014.53,0.7383
OMEGA.2022-01-04T01:17:13.178.astred.cal.fits,22,3,391.67,23.06,124.16,4004.08,0.7376
OMEGA.2022-01-04T01:17:13.178.astred.cal.fits,25,4,2088.81,2675.41,1987.86,4176.02,0.7368
OMEGA.2022-01-04T01:17:13.178.astred.cal.fits,29,6,1954.37,152.77,1687.6,4178.94,0.7362
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,13,2,82.93,280.89,2088.52,414.0,0.004651
