file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ra_start[deg],dec_start[deg],ra_end[deg],dec_end[deg],JD_start[UTC],JD_end[UTC],norad_number,angle_offset[deg],pixel_offset[px],range[m],phase_angle[deg],ang_vel[deg/s]
OMEGA.2022-01-22T04:46:34.403.fits,2,5,48.0,2018.0,752.0,4100.0,172.25950765121928,-44.59808008719127,172.3191153721324,-44.4749117013907,59601.20079729287,59601.20092192385,32379.0,,,,,
OMEGA.2022-01-22T04:46:34.403.fits,6,7,880.0,0.0,2096.0,3427.1,172.32991718048035,-44.45367242677578,172.4321522303809,-44.25086063828517,59601.20094352122,59601.20115044015,32379.0,,,,,
OMEGA.2022-01-22T04:46:34.403.fits,7,8,48.0,3651.6,192.0,4100.0,172.44001168170084,-44.23757528285802,172.45208052503244,-44.21102777065395,59601.201164253056,59601.201191028114,32379.0,,,,,
OMEGA.2022-01-22T02:41:05.131.fits,13,1,48.0,3335.2,448.0,4200.0,70.76320518637986,-52.94947376655068,70.80350974108701,-52.89848245318834,59601.1156438482,59601.11564713204,21137.0,,,,,
OMEGA.2022-01-22T01:14:15.737.fits,2,1,1552.0,0.0,2096.0,928.7,44.67357252926527,-16.972535880341727,44.70736734329816,-16.917528322952958,59601.05264262995,59601.052645775024,24833.0,,,,,
OMEGA.2022-01-22T01:14:15.737.fits,25,2,224.0,100.0,2096.0,3206.8,44.98940353753167,-16.462793007645057,45.10500907862274,-16.27856511832138,59601.052671819925,59601.052682471,24833.0,,,,,
OMEGA.2022-01-22T01:14:15.737.fits,30,4,736.0,100.0,2096.0,2374.0,45.15304809355321,-16.198247016838412,45.23682731445103,-16.06335060891306,59601.05268710992,59601.05269470299,24833.0,,,,,
OMEGA.2022-01-22T01:14:15.737.fits,31,5,48.0,2502.3,1040.0,4200.0,45.24267763958879,-16.05573750020459,45.30370389328103,-15.955011333720776,59601.05269517191,59601.05270081898,24833.0,,,,,
OMEGA.2022-01-22T03:14:15.347.fits,30,1,1552.0,1949.3,2096.0,1957.6,121.2592969799633,14.760639166298258,121.29264856706102,14.76109648554312,59601.1349054738,59601.13498628978,26378.0,,,,,
OMEGA.2022-01-22T03:14:15.347.fits,31,2,48.0,1957.8,2096.0,2085.7,121.29847274302914,14.761101786522806,121.42404115535416,14.768507180284498,59601.13506108988,59601.13540997915,26378.0,,,,,
