file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ang_vel[deg/s]
OMEGA.2022-01-26T01:17:51.352.fits,10,1,48.0,2854.7,2096.0,2470.1,0.09944
OMEGA.2022-01-26T01:17:51.352.fits,11,2,48.0,2438.3,2096.0,2053.7,0.09954
OMEGA.2022-01-26T01:17:51.352.fits,12,3,48.0,2021.9,2096.0,1637.2,0.09965
OMEGA.2022-01-26T01:17:51.352.fits,25,5,48.0,1605.5,2096.0,1220.8,0.09975
OMEGA.2022-01-26T01:17:51.352.fits,26,6,48.0,1189.1,2096.0,836.5,0.09986
OMEGA.2022-01-26T01:17:51.352.fits,27,7,48.0,772.7,2096.0,420.1,0.09996
OMEGA.2022-01-26T01:17:51.352.fits,9,9,48.0,3239.1,2096.0,2886.5,0.09933
OMEGA.2022-01-26T03:29:32.063.fits,13,1,48.0,3623.4,2096.0,3655.2,0.03159
OMEGA.2022-01-26T03:29:32.063.fits,14,2,48.0,3623.4,2096.0,3655.2,0.03159
OMEGA.2022-01-26T03:29:32.063.fits,15,3,48.0,3655.5,2096.0,3687.2,0.03159
OMEGA.2022-01-26T03:29:32.063.fits,16,4,48.0,3655.5,2096.0,3687.2,0.03159
OMEGA.2022-01-26T03:29:32.063.fits,29,5,48.0,3655.5,2096.0,3719.3,0.03159
OMEGA.2022-01-26T03:29:32.063.fits,30,6,48.0,3687.5,2096.0,3719.3,0.03159
OMEGA.2022-01-26T03:29:32.063.fits,31,7,48.0,3687.5,2096.0,3751.3,0.0316
OMEGA.2022-01-26T03:29:32.063.fits,32,8,48.0,3719.5,2096.0,3751.3,0.0316
OMEGA.2022-01-26T03:47:46.116.fits,15,3,48.0,644.5,2096.0,772.4,0.004622
OMEGA.2022-01-26T03:47:46.116.fits,29,5,48.0,868.8,448.0,907.0,0.004622
OMEGA.2022-01-27T01:15:52.153.fits,13,2,48.0,2021.9,2096.0,3911.5,0.5611
OMEGA.2022-01-27T00:46:55.409.fits,31,2,48.0,4071.9,2096.0,3719.3,0.1039
OMEGA.2022-01-27T00:46:55.409.fits,32,3,48.0,3655.5,2096.0,3302.9,0.104
OMEGA.2022-01-27T01:21:56.444.fits,20,11,1040.0,4100.0,48.0,288.3,0.2787
OMEGA.2022-01-27T01:21:56.444.fits,24,14,2096.0,3715.4,1120.0,0.0,0.2788
OMEGA.2022-01-27T03:55:20.289.fits,13,1,48.0,2085.9,2096.0,2149.7,0.0314
OMEGA.2022-01-27T03:55:20.289.fits,14,2,48.0,2118.0,2096.0,2181.8,0.0314
OMEGA.2022-01-27T03:55:20.289.fits,15,3,48.0,2150.0,2096.0,2213.8,0.03141
OMEGA.2022-01-27T03:55:20.289.fits,16,4,48.0,2182.0,2096.0,2245.8,0.03141
OMEGA.2022-01-27T03:55:20.289.fits,29,5,48.0,2214.1,2096.0,2277.9,0.03142
OMEGA.2022-01-27T03:55:20.289.fits,30,6,48.0,2278.1,2096.0,2341.9,0.03142
OMEGA.2022-01-27T03:55:20.289.fits,31,7,48.0,2310.2,2096.0,2374.0,0.03142
OMEGA.2022-01-27T03:55:20.289.fits,32,8,48.0,2342.2,2096.0,2406.0,0.03143
OMEGA.2022-01-27T01:09:47.582.fits,10,1,48.0,2598.4,2096.0,1637.2,0.09759
OMEGA.2022-01-27T01:09:47.582.fits,11,3,48.0,1573.4,2096.0,612.2,0.098
OMEGA.2022-01-27T01:09:47.582.fits,20,7,1808.0,4100.0,2096.0,3971.6,0.1002
OMEGA.2022-01-27T01:09:47.582.fits,22,8,48.0,2530.5,2096.0,1569.3,0.09925
OMEGA.2022-01-27T01:09:47.582.fits,23,10,48.0,1505.5,2096.0,544.3,0.09966
OMEGA.2022-01-27T01:09:47.582.fits,24,11,48.0,480.5,1040.0,0.0,0.09991
OMEGA.2022-01-27T01:09:47.582.fits,8,15,1072.0,4100.0,2096.0,3619.3,0.09844
OMEGA.2022-01-27T01:09:47.582.fits,9,16,48.0,3623.4,2096.0,2662.2,0.09718
OMEGA.2022-01-27T04:01:24.760.fits,1,1,48.0,2562.5,2096.0,2946.6,0.003777
OMEGA.2022-01-27T04:01:24.760.fits,2,4,48.0,2946.9,2096.0,3363.0,0.003783
OMEGA.2022-01-27T04:01:24.760.fits,22,5,48.0,96.1,2096.0,512.2,0.00381
OMEGA.2022-01-27T04:01:24.760.fits,23,6,48.0,512.5,2096.0,928.7,0.003816
OMEGA.2022-01-27T04:01:24.760.fits,3,7,48.0,3363.3,2096.0,3779.4,0.00379
OMEGA.2022-01-27T04:01:24.760.fits,4,8,48.0,3747.7,1840.0,4100.0,0.003795
OMEGA.2022-02-01T01:19:35.475.fits,13,1,1200.0,100.0,2096.0,388.0,0.4574
OMEGA.2022-02-01T01:19:35.475.fits,14,2,48.0,356.3,2096.0,996.6,0.4585
OMEGA.2022-02-01T01:19:35.475.fits,15,3,48.0,996.9,2096.0,1637.2,0.4598
OMEGA.2022-02-01T01:19:35.475.fits,16,4,48.0,1637.5,2096.0,2277.9,0.461
OMEGA.2022-02-01T01:19:35.475.fits,29,9,48.0,2278.1,2096.0,2918.5,0.4622
OMEGA.2022-02-01T01:19:35.475.fits,30,12,48.0,2918.8,2096.0,3559.1,0.4635
OMEGA.2022-02-01T01:19:35.475.fits,31,13,48.0,3559.4,2096.0,4200.0,0.4644
OMEGA.2022-02-01T02:47:28.440.fits,13,1,48.0,3815.6,2096.0,3847.4,0.03161
OMEGA.2022-02-01T02:47:28.440.fits,14,2,48.0,3815.6,2096.0,3847.4,0.03161
OMEGA.2022-02-01T02:47:28.440.fits,15,3,48.0,3783.6,2096.0,3815.4,0.03161
OMEGA.2022-02-01T02:47:28.440.fits,16,4,48.0,3783.6,2096.0,3815.4,0.03161
OMEGA.2022-02-01T02:47:28.440.fits,29,5,48.0,3783.6,2096.0,3815.4,0.03161
