file_name,IRSKY_TEMP,TEMP,WINDSP,PRES,PRES,FWHM,FWHM,RHUM,TAU0
OMEGA.2022-01-04T08:12:29.356.astred.cal.fits,-94.9,14.7,0.73,743.2,743.3,0.55,0.55,9.0,0.021584
OMEGA.2022-01-04T08:12:29.356.astred.cal.fits,-94.9,14.7,0.73,743.2,743.3,0.55,0.55,9.0,0.021584
OMEGA.2022-01-04T08:12:29.356.astred.cal.fits,-94.9,14.7,0.73,743.2,743.3,0.55,0.55,9.0,0.021584
OMEGA.2022-01-04T08:12:29.356.astred.cal.fits,-94.9,14.7,0.73,743.2,743.3,0.55,0.55,9.0,0.021584
OMEGA.2022-01-05T01:03:01.884.fits,-93.0,14.26,1.27,743.5,743.5,0.59,0.6,6.0,0.019253
OMEGA.2022-01-05T01:03:01.884.fits,-93.0,14.26,1.27,743.5,743.5,0.59,0.6,6.0,0.019253
OMEGA.2022-01-05T01:03:01.884.fits,-93.0,14.26,1.27,743.5,743.5,0.59,0.6,6.0,0.019253
OMEGA.2022-01-05T01:09:06.355.fits,-93.1,14.32,1.3,743.5,743.5,0.57,0.67,9.0,0.018269
OMEGA.2022-01-05T01:09:06.355.fits,-93.1,14.32,1.3,743.5,743.5,0.57,0.67,9.0,0.018269
OMEGA.2022-01-05T01:09:06.355.fits,-93.1,14.32,1.3,743.5,743.5,0.57,0.67,9.0,0.018269
OMEGA.2022-01-05T01:09:06.355.fits,-93.1,14.32,1.3,743.5,743.5,0.57,0.67,9.0,0.018269
OMEGA.2022-01-05T03:08:56.835.fits,-93.2,14.05,2.55,743.8,743.8,0.53,0.57,10.0,0.010432
OMEGA.2022-01-05T03:08:56.835.fits,-93.2,14.05,2.55,743.8,743.8,0.53,0.57,10.0,0.010432
OMEGA.2022-01-05T03:08:56.835.fits,-93.2,14.05,2.55,743.8,743.8,0.53,0.57,10.0,0.010432
OMEGA.2022-01-05T03:08:56.835.fits,-93.2,14.05,2.55,743.8,743.8,0.53,0.57,10.0,0.010432
OMEGA.2022-01-05T03:21:06.797.fits,-94.3,14.45,1.83,743.8,743.8,0.54,0.58,9.0,0.016656
OMEGA.2022-01-05T03:21:06.797.fits,-94.3,14.45,1.83,743.8,743.8,0.54,0.58,9.0,0.016656
OMEGA.2022-01-05T03:21:06.797.fits,-94.3,14.45,1.83,743.8,743.8,0.54,0.58,9.0,0.016656
OMEGA.2022-01-05T03:21:06.797.fits,-94.3,14.45,1.83,743.8,743.8,0.54,0.58,9.0,0.016656
OMEGA.2022-01-05T03:21:06.797.fits,-94.3,14.45,1.83,743.8,743.8,0.54,0.58,9.0,0.016656
OMEGA.2022-01-05T03:21:06.797.fits,-94.3,14.45,1.83,743.8,743.8,0.54,0.58,9.0,0.016656
OMEGA.2022-01-05T03:21:06.797.fits,-94.3,14.45,1.83,743.8,743.8,0.54,0.58,9.0,0.016656
OMEGA.2022-01-05T03:21:06.797.fits,-94.3,14.45,1.83,743.8,743.8,0.54,0.58,9.0,0.016656
OMEGA.2022-01-05T03:49:22.562.fits,-95.0,14.09,3.6,743.7,743.6,0.5,0.48,8.0,0.013505
OMEGA.2022-01-05T03:49:22.562.fits,-95.0,14.09,3.6,743.7,743.6,0.5,0.48,8.0,0.013505
OMEGA.2022-01-05T03:49:22.562.fits,-95.0,14.09,3.6,743.7,743.6,0.5,0.48,8.0,0.013505
OMEGA.2022-01-05T03:49:22.562.fits,-95.0,14.09,3.6,743.7,743.6,0.5,0.48,8.0,0.013505
OMEGA.2022-01-05T03:49:22.562.fits,-95.0,14.09,3.6,743.7,743.6,0.5,0.48,8.0,0.013505
OMEGA.2022-01-05T03:49:22.562.fits,-95.0,14.09,3.6,743.7,743.6,0.5,0.48,8.0,0.013505
OMEGA.2022-01-05T03:49:22.562.fits,-95.0,14.09,3.6,743.7,743.6,0.5,0.48,8.0,0.013505
OMEGA.2022-01-05T03:49:22.562.fits,-95.0,14.09,3.6,743.7,743.6,0.5,0.48,8.0,0.013505
OMEGA.2022-01-05T05:55:51.673.fits,-92.6,14.13,3.4,742.8,742.8,0.3,0.36,14.0,0.017948
OMEGA.2022-01-05T05:55:51.673.fits,-92.6,14.13,3.4,742.8,742.8,0.3,0.36,14.0,0.017948
